timestamp,agent_name,instantaneous_rps,avg_rps_1min,avg_rps_5min,peak_rps,throughput_efficiency,request_success_rate,bandwidth_utilization_mbps
1760189886,hybrid_dqn_ppo,126.7,126.7,126.7,384.2,1.408,0.9900,1.22
1760189886,hybrid_dqn_ppo,98.9,112.8,112.8,384.2,1.099,0.8932,0.95
1760189886,hybrid_dqn_ppo,153.8,126.5,126.5,384.2,1.709,0.9900,1.48
1760189886,hybrid_dqn_ppo,123.7,125.8,125.8,384.2,1.375,0.9818,1.19
1760189886,hybrid_dqn_ppo,131.3,126.9,126.9,384.2,1.459,0.9900,1.26
1760189886,hybrid_dqn_ppo,89.8,120.7,120.7,384.2,0.997,0.9337,0.86
1760189886,hybrid_dqn_ppo,309.3,151.1,147.7,384.2,3.437,0.9900,2.97
1760189886,hybrid_dqn_ppo,296.0,184.0,166.2,384.2,3.289,0.9900,2.84
1760189886,hybrid_dqn_ppo,81.9,172.0,156.8,384.2,0.910,0.9900,0.79
1760189886,hybrid_dqn_ppo,83.9,165.4,149.5,384.2,0.932,0.9206,0.81
1760189886,hybrid_dqn_ppo,363.1,204.0,169.0,384.2,4.035,0.9900,3.49
1760189886,hybrid_dqn_ppo,62.9,199.5,160.1,384.2,0.699,0.9900,0.60
1760189886,hybrid_dqn_ppo,223.0,185.1,165.0,384.2,2.478,0.9900,2.14
1760189886,hybrid_dqn_ppo,234.6,174.9,169.9,384.2,2.607,0.9900,2.25
1760189886,hybrid_dqn_ppo,219.0,197.8,173.2,384.2,2.433,0.9900,2.10
1760189886,hybrid_dqn_ppo,172.6,212.5,173.2,384.2,1.918,0.9513,1.66
1760189886,hybrid_dqn_ppo,214.3,187.7,175.6,384.2,2.382,0.9900,2.06
1760189886,hybrid_dqn_ppo,192.1,209.3,176.5,384.2,2.134,0.9900,1.84
1760189886,hybrid_dqn_ppo,227.2,210.0,179.2,384.2,2.525,0.9900,2.18
1760189886,hybrid_dqn_ppo,371.0,232.7,188.8,384.2,4.122,0.9900,3.56
1760189886,hybrid_dqn_ppo,133.5,218.5,186.1,384.2,1.484,0.9900,1.28
1760189886,hybrid_dqn_ppo,128.3,211.1,183.5,384.2,1.425,0.9334,1.23
1760189886,hybrid_dqn_ppo,63.1,185.9,178.3,384.2,0.701,0.9553,0.61
1760189886,hybrid_dqn_ppo,302.7,204.3,183.5,384.2,3.363,0.9900,2.91
1760189886,hybrid_dqn_ppo,109.0,184.6,180.5,384.2,1.211,0.9900,1.05
1760189886,hybrid_dqn_ppo,384.2,186.8,188.3,384.2,4.268,0.9900,3.69
1760189886,hybrid_dqn_ppo,203.5,198.4,188.9,384.2,2.261,0.9900,1.95
1760189886,hybrid_dqn_ppo,71.0,188.9,184.7,384.2,0.789,0.9900,0.68
1760189886,hybrid_dqn_ppo,200.0,211.7,185.2,384.2,2.222,0.9900,1.92
1760189886,hybrid_dqn_ppo,139.2,184.5,183.7,384.2,1.547,0.9444,1.34
1760189886,hybrid_dqn_ppo,127.8,187.6,183.7,384.2,1.420,0.9773,1.23
1760189886,hybrid_dqn_ppo,207.2,158.1,187.3,384.2,2.302,0.9900,1.99
1760189886,hybrid_dqn_ppo,139.5,147.4,186.8,384.2,1.550,0.9732,1.34
1760189886,hybrid_dqn_ppo,191.5,167.5,189.1,384.2,2.127,0.9900,1.84
1760189886,hybrid_dqn_ppo,72.2,146.2,187.1,384.2,0.802,0.9538,0.69
1760189886,hybrid_dqn_ppo,262.8,166.8,192.9,384.2,2.921,0.9900,2.52
1760189886,hybrid_dqn_ppo,144.2,169.6,187.4,384.2,1.602,0.9900,1.38
1760189886,hybrid_dqn_ppo,75.1,147.6,180.0,384.2,0.835,0.9900,0.72
1760189886,hybrid_dqn_ppo,139.1,147.5,181.9,384.2,1.546,0.9900,1.34
1760189886,hybrid_dqn_ppo,224.4,153.0,186.6,384.2,2.494,0.9900,2.15
1760189886,hybrid_dqn_ppo,71.1,152.8,176.9,384.2,0.790,0.8966,0.68
1760189886,hybrid_dqn_ppo,181.8,139.3,180.8,384.2,2.020,0.9900,1.75
1760189886,hybrid_dqn_ppo,161.6,142.2,178.8,384.2,1.796,0.9900,1.55
1760189886,hybrid_dqn_ppo,364.7,190.5,183.1,384.2,4.052,0.9900,3.50
1760189886,hybrid_dqn_ppo,175.2,196.5,181.7,384.2,1.947,0.9900,1.68
1760189886,hybrid_dqn_ppo,234.4,198.1,183.7,384.2,2.604,0.9900,2.25
1760189886,hybrid_dqn_ppo,66.5,197.4,178.8,384.2,0.739,0.9309,0.64
1760189886,hybrid_dqn_ppo,259.9,210.4,181.1,384.2,2.888,0.9900,2.49
1760189886,hybrid_dqn_ppo,108.3,201.5,177.1,384.2,1.204,0.9900,1.04
1760189886,hybrid_dqn_ppo,219.8,177.4,172.1,384.2,2.443,0.9900,2.11
1760189886,hybrid_dqn_ppo,129.9,169.8,171.9,384.2,1.443,0.9134,1.25
1760189886,hybrid_dqn_ppo,227.1,168.6,175.2,384.2,2.524,0.9900,2.18
1760189886,hybrid_dqn_ppo,232.1,196.2,180.9,384.2,2.579,0.9900,2.23
1760189886,hybrid_dqn_ppo,256.5,195.6,179.3,384.2,2.850,0.9900,2.46
1760189886,hybrid_dqn_ppo,170.4,206.0,181.4,384.2,1.894,0.9900,1.64
1760189886,hybrid_dqn_ppo,173.0,198.2,174.3,384.2,1.923,0.9900,1.66
1760189886,hybrid_dqn_ppo,186.0,207.5,173.8,384.2,2.066,0.9900,1.79
1760189886,hybrid_dqn_ppo,109.1,187.9,175.0,384.2,1.212,0.9900,1.05
1760189886,hybrid_dqn_ppo,90.7,164.3,171.4,384.2,1.007,0.9900,0.87
1760189886,hybrid_dqn_ppo,120.5,141.6,170.8,384.2,1.339,0.9900,1.16
1760189886,hybrid_dqn_ppo,96.5,129.3,169.7,384.2,1.073,0.9900,0.93
1760189886,hybrid_dqn_ppo,231.4,139.0,170.5,384.2,2.571,0.9900,2.22
1760189886,hybrid_dqn_ppo,162.6,135.1,171.3,384.2,1.807,0.9900,1.56
1760189886,hybrid_dqn_ppo,124.9,137.8,169.1,384.2,1.387,0.9400,1.20
1760189886,hybrid_dqn_ppo,123.4,143.2,170.8,384.2,1.372,0.9900,1.18
1760189886,hybrid_dqn_ppo,276.1,169.2,171.2,384.2,3.068,0.9900,2.65
1760189886,hybrid_dqn_ppo,136.6,175.8,171.0,384.2,1.518,0.9900,1.31
1760189886,hybrid_dqn_ppo,154.5,163.0,173.6,384.2,1.717,0.9900,1.48
1760189886,hybrid_dqn_ppo,146.3,160.3,173.9,384.2,1.626,0.9653,1.40
1760189886,hybrid_dqn_ppo,90.3,154.6,169.4,384.2,1.004,0.9900,0.87
1760189886,hybrid_dqn_ppo,99.1,150.5,170.3,384.2,1.101,0.9875,0.95
1760189886,hybrid_dqn_ppo,207.6,139.1,171.2,384.2,2.307,0.9900,1.99
1760189886,hybrid_dqn_ppo,93.3,131.9,168.9,384.2,1.037,0.9635,0.90
1760189886,hybrid_dqn_ppo,349.7,164.4,168.4,384.2,3.885,0.9900,3.36
1760189886,hybrid_dqn_ppo,201.6,173.6,169.3,384.2,2.240,0.9900,1.94
1760189886,hybrid_dqn_ppo,259.9,201.9,170.1,384.2,2.888,0.9900,2.50
1760189886,hybrid_dqn_ppo,255.8,228.0,176.4,384.2,2.842,0.9900,2.46
1760189886,hybrid_dqn_ppo,189.1,224.9,174.1,384.2,2.101,0.9900,1.82
1760189886,hybrid_dqn_ppo,139.0,232.5,175.1,384.2,1.545,0.9144,1.33
1760189886,hybrid_dqn_ppo,81.5,187.8,170.5,384.2,0.906,0.9163,0.78
1760189886,hybrid_dqn_ppo,288.6,202.3,175.8,384.2,3.207,0.9900,2.77
1760189886,hybrid_dqn_ppo,158.5,185.4,173.5,384.2,1.761,0.9900,1.52
1760189886,hybrid_dqn_ppo,168.6,170.9,171.4,384.2,1.873,0.9900,1.62
1760189886,hybrid_dqn_ppo,223.6,176.6,170.3,384.2,2.484,0.9900,2.15
1760189886,hybrid_dqn_ppo,296.8,202.9,174.5,384.2,3.298,0.9900,2.85
1760189886,hybrid_dqn_ppo,154.1,215.0,173.9,384.2,1.712,0.9900,1.48
1760189886,hybrid_dqn_ppo,137.0,189.8,172.2,384.2,1.522,0.9667,1.32
1760189886,hybrid_dqn_ppo,282.5,210.4,178.0,384.2,3.139,0.9900,2.71
1760189886,hybrid_dqn_ppo,89.4,197.2,178.0,384.2,0.993,0.9480,0.86
1760189886,hybrid_dqn_ppo,163.5,187.2,179.4,384.2,1.817,0.9564,1.57
1760189886,hybrid_dqn_ppo,65.4,148.7,178.4,384.2,0.727,0.9798,0.63
1760189886,hybrid_dqn_ppo,131.8,144.9,175.0,384.2,1.465,0.9014,1.27
1760189886,hybrid_dqn_ppo,137.9,145.1,174.2,384.2,1.532,0.9900,1.32
1760189886,hybrid_dqn_ppo,59.7,108.0,172.0,384.2,0.663,0.9232,0.57
1760189886,hybrid_dqn_ppo,83.5,107.0,170.7,384.2,0.928,0.9900,0.80
1760189886,hybrid_dqn_ppo,224.9,117.2,169.0,384.2,2.499,0.9900,2.16
1760189886,hybrid_dqn_ppo,206.5,140.7,171.3,384.2,2.295,0.9900,1.98
1760189886,hybrid_dqn_ppo,309.8,170.4,176.5,384.2,3.442,0.9900,2.97
1760189886,hybrid_dqn_ppo,112.9,166.2,175.4,384.2,1.254,0.9900,1.08
1760189886,hybrid_dqn_ppo,87.4,170.8,175.3,384.2,0.971,0.9377,0.84
